NAME,Time First,First Counter,Time Last,Last Counter,Timestamp,Energy
SN1,192.168.30.11,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
SN2,2025-12-01T00:00:00.257+01:00,110531.9,2025-12-31T23:59:59.4+01:00,114355.9,2025-12-01T00:00:00.000000001+01:00,3824
PTRC,2025-12-01T00:00:00.967+01:00,171272.2,2025-12-31T23:59:59.348+01:00,175409,2025-12-01T00:00:00.000000001+01:00,4136.799999999988
STRN,192.168.30.52,ERROR,Error: No such container: plc-datalog-influxDB-1
SN3,2025-12-01T00:00:00.872+01:00,136239.8,2025-12-31T23:59:59.676+01:00,140702.7,2025-12-01T00:00:00.000000001+01:00,4462.900000000023
SN4,192.168.30.54,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
ZINGAD,2025-12-01T00:00:00.801+01:00,200591.1,2025-12-31T23:59:59.145+01:00,204804.4,2025-12-01T00:00:00.000000001+01:00,4213.299999999988
BOVINO,2025-12-01T00:00:00.374+01:00,200683.7,2025-12-31T23:59:58.899+01:00,204560.9,2025-12-01T00:00:00.000000001+01:00,3877.1999999999825
MINICHILLO,2025-12-01T00:00:00.103+01:00,472125.2,2025-12-31T23:59:59.357+01:00,477460.9,2025-12-01T00:00:00.000000001+01:00,5335.700000000012
ZINGAG,2025-12-01T00:00:00.796+01:00,205487.1,2025-12-31T23:59:59.17+01:00,209427.3,2025-12-01T00:00:00.000000001+01:00,3940.1999999999825
ALDO2,2025-12-01T00:00:00.502+01:00,867448.4,2025-12-31T23:59:59.058+01:00,869043.8,2025-12-01T00:00:00.000000001+01:00,1595.4000000000233
RITOLI,192.168.38.2,ERROR,Error: No such container: plc-datalog-influxDB-1
ALDO3,2025-12-01T00:00:00.919+01:00,873275.5,2025-12-31T23:59:59.9+01:00,875168.1,2025-12-01T00:00:00.000000001+01:00,1892.5999999999767
BICCARI,2025-12-01T00:00:00.987+01:00,81129.6,2025-12-31T23:59:59.329+01:00,83415,2025-12-01T00:00:00.000000001+01:00,2285.399999999994
FALCONE,2025-12-01T00:00:00.211+01:00,138568.4,2025-12-31T23:59:59.827+01:00,142534,2025-12-01T00:00:00.000000001+01:00,3965.600000000006
ETAPOWER,192.168.42.2,PING EMBEDDED FAILED,192.168.42.1,PING ROUTER OK
VALENTE,2025-12-01T00:00:00.494+01:00,936061,2025-12-31T23:59:59.841+01:00,939012.2,2025-12-01T00:00:00.000000001+01:00,2951.1999999999534
