SiteName,HostName,LAN Subnet,plc IP,embedded IP
,SN1,192.168.30.0/26,192.168.30.10,192.168.30.11,192.168.30.14
,SN2,192.168.30.0/26,192.168.30.8,192.168.30.50,192.168.30.14
,PTRC,192.168.30.0/26,192.168.30.5,192.168.30.51,192.168.30.14
,STRN,192.168.30.0/26,192.168.30.2,192.168.30.52,192.168.30.14
,SN3,192.168.30.0/26,192.168.30.60,192.168.30.53,192.168.30.14
,SN4,192.168.30.0/26,192.168.30.55,192.168.30.54,192.168.30.14
,ZINGAD,192.168.31.0/24,192.168.31.3,192.168.31.2,192.168.31.1
,BOVINO,192.168.32.0/24,192.168.32.3,192.168.32.2,192.168.32.1
#,LENA,192.168.33.0/24,192.168.33.3,192.168.33.2,192.168.33.1
,MINICHILLO,192.168.34.0/24,192.168.34.3,192.168.34.2,192.168.34.1
,ZINGAG,192.168.35.0/24,192.168.35.3,192.168.35.2,192.168.35.1
#,LENA2,192.168.36.0/24,192.168.36.3,192.168.36.2,192.168.36.1
,ALDO2,192.168.37.0/24,192.168.37.3,192.168.37.2,192.168.37.1
,RITOLI,192.168.38.0/24,192.168.38.3,192.168.38.2,192.168.38.1
,ALDO3,192.168.39.0/24,192.168.39.3,192.168.39.2,192.168.39.1
,BICCARI,192.168.40.0/24,192.168.40.3,192.168.40.2,192.168.40.1
,FALCONE,192.168.41.0/24,192.168.41.3,192.168.41.2,192.168.41.1
,ETAPOWER,192.168.42.0/24,192.168.42.3,192.168.42.2,192.168.42.1
,VALENTE,192.168.43.0/24,192.168.43.3,192.168.43.2,192.168.43.1
,FARES1,192.168.45.0/24,192.168.45.3,192.168.45.2,192.168.45.1
,IAPOZZUTO,192.168.46.0/24,192.168.46.3,192.168.46.2,192.168.46.1
,FALCONE2,192.168.47.0/24,192.168.47.3,192.168.47.2,192.168.47.1
SERRAT,SERRATRAVERSA,192.168.48.0/24,192.168.48.3,192.168.48.2,192.168.48.1
#,FESTA,192.168.49.0/24,192.168.49.3,192.168.49.2,192.168.49.1
,FANELLI,192.168.50.0/24,192.168.50.3,192.168.50.2,192.168.50.1
,CANDELA,192.168.51.0/24,192.168.51.3,192.168.51.2,192.168.51.1
,LAURIOLA,192.168.53.0/24,192.168.53.3,192.168.53.2,192.168.53.1
,TREQUERCE,192.168.54.0/24,192.168.54.3,192.168.54.2,192.168.54.1
,ASCOLI,192.168.55.0/24,192.168.55.3,192.168.55.2,192.168.55.1
,MONTARATRO,192.168.56.0/24,192.168.56.3,192.168.56.2,192.168.56.1
